i,v
409462,3.9425477497478784e-07
4463,3.9413497710940505e-07
493403,3.9409504448761075e-07
408961,3.9409504448761075e-07
428422,3.938953813786394e-07
326492,3.936158530260796e-07
403090,3.935759204042853e-07
501206,3.9329639205172544e-07
503541,3.9317659418634265e-07
227791,3.9257760485942867e-07
412582,3.9201854815430893e-07
206,3.912198957184236e-07
7951,3.9098029998765804e-07
366531,3.9086050212227526e-07
435660,3.9086050212227526e-07
5229,3.9046117590433255e-07
490344,3.903014454171555e-07
12547,3.899819844428014e-07
436037,3.8942292773768166e-07
473065,3.892631972505046e-07
18586,3.886642079235906e-07
270138,3.8862427530179635e-07
224429,3.883447469492365e-07
251492,3.874262966479684e-07
428666,3.872665661607913e-07
10174,3.8718670091720275e-07
408746,3.871467682954085e-07
459170,3.871467682954085e-07
379584,3.8578905915440346e-07
424732,3.855494634236379e-07
7464,3.855494634236379e-07
345046,3.8343303446854176e-07
21431,3.833931018467475e-07
253127,3.8299377562880486e-07
360196,3.825545167890679e-07
248817,3.8247465154547936e-07
326034,3.8215519057112525e-07
16615,3.818756622185654e-07
622994,3.814364033788285e-07
200989,3.80917279295503e-07
440972,3.8063775094294317e-07
2211,3.7991896375064634e-07
420599,3.7935990704552665e-07
307128,3.7884078296220116e-07
643010,3.7816192839169863e-07
19057,3.7756293906478465e-07
287925,3.772035454686363e-07
382857,3.7604549943660256e-07
16651,3.7452805980842043e-07
339205,3.7416866621227207e-07
378569,3.737693399943294e-07
431085,3.7265122658408993e-07
293751,3.720123046353817e-07
2441,3.718925067699989e-07
11124,3.718126415264104e-07
311486,3.7161297841743905e-07
243664,3.711737195777021e-07
477159,3.6921702110978305e-07
493433,3.6793917721236654e-07
500256,3.674200531290411e-07
514835,3.66501602827773e-07
326736,3.6502409582138516e-07
505013,3.6294759948808334e-07
451976,3.6198921656502094e-07
360600,3.6127042937272417e-07
326433,3.611106988855471e-07
19087,3.6091103577657576e-07
426338,3.603919116932503e-07
439809,3.601523159624847e-07
270229,3.596731245009535e-07
309715,3.5951339401377646e-07
189524,3.5939359614839367e-07
302400,3.5883453944327393e-07
443275,3.5791608914200583e-07
235048,3.576764934112402e-07
401705,3.570775040843262e-07
16621,3.5691777359714914e-07
516181,3.56598312622795e-07
217510,3.565184473792065e-07
195929,3.5623891902664667e-07
216701,3.559194580522925e-07
5049,3.5575972756511547e-07
402660,3.5540033396896706e-07
342551,3.5508087299461294e-07
16169,3.5492114250743586e-07
13505,3.5364329861001935e-07
439459,3.5340370287925377e-07
19585,3.529245114177226e-07
194619,3.5284464617413403e-07
323032,3.526449830651627e-07
1918,3.525251851997799e-07
460381,3.519661284946602e-07
481632,3.5140707178954044e-07
212556,3.509278803280093e-07
482024,3.499295647831526e-07
493802,3.496101038087985e-07
405849,3.4957017118700424e-07
294209,3.491309123472673e-07
248172,3.4717421387934825e-07
435501,3.460561004691088e-07
511753,3.456967068729604e-07
433599,3.4565677425116616e-07
439671,3.4485812181528085e-07
408838,3.4437893035374965e-07
14345,3.43380614808893e-07
393183,3.4142391634097397e-07
316530,3.411443879884141e-07
246292,3.4026587030894025e-07
243818,3.3982661146920335e-07
295704,3.3982661146920335e-07
334050,3.395870157384377e-07
269001,3.394272852512607e-07
305890,3.3874843068075816e-07
268290,3.3822930659743267e-07
501095,3.3782998037949e-07
266299,3.377101825141072e-07
315983,3.376303172705187e-07
440011,3.361128776423366e-07
430484,3.3591321453336527e-07
324741,3.354340230718341e-07
436781,3.35274292584657e-07
15789,3.341162465526233e-07
418296,3.3379678557826915e-07
474179,3.331578636295609e-07
439910,3.330779983859724e-07
245579,3.3287833527700105e-07
419625,3.3136089564881897e-07
420540,3.3132096302702467e-07
1418,3.309615694308763e-07
17803,3.3040251272575657e-07
440063,3.302827148603738e-07
516857,3.291646014501343e-07
432618,3.28365949014249e-07
226476,3.282461511488662e-07
409409,3.2796662279630633e-07
7484,3.2772702706554076e-07
451675,3.275672965783637e-07
411778,3.2736763346939235e-07
417133,3.271280377386268e-07
421577,3.2700823987324394e-07
327341,3.263693179245357e-07
755170,3.263693179245357e-07
415042,3.262495200591529e-07
414561,3.262095874373586e-07
16505,3.2608978957197584e-07
493881,3.2441261945661667e-07
356635,3.2421295634764534e-07
8998,3.2373376488611414e-07
371561,3.234542365335543e-07
401736,3.234542365335543e-07
470013,3.2277538196305175e-07
330349,3.212180097130754e-07
491937,3.207388182515442e-07
281237,3.206190203861614e-07
318589,3.2041935727719005e-07
448502,3.201797615464245e-07
437357,3.1982036795027607e-07
501244,3.1966063746309904e-07
248659,3.194609743541277e-07
455682,3.193012438669506e-07
426159,3.1914151337977354e-07
636310,3.182629957002997e-07
